Loss,Accuracy,Precision,Recall,AUC,F1 Score,time,model,vectoriser
0.5933427810668945,0.7067757248878479,0.7237635850906372,0.6872852444648743,0.7388350963592529,0.7050528969581958,208.74185,CNN,count
0.65756756067276,0.6139018535614014,0.5986964702606201,0.736540675163269,0.6558781266212463,0.6605033479406882,195.964399,CNN,tfidf
0.24309614300727844,0.9217289686203003,0.913773775100708,0.9347078800201416,0.9714791774749756,0.9241222879072009,26.43114,CNN,word2vec
0.5996797680854797,0.7050233483314514,0.7243902683258057,0.6804123520851135,0.7316427230834961,0.7017129369461943,956.086916,LSTM,count
0.6974673867225647,0.509929895401001,0.509929895401001,1.0,0.6173927783966064,0.6754351933214434,1045.55275,LSTM,tfidf
0.20313115417957306,0.9304906725883484,0.9414519667625427,0.9209622144699097,0.9767682552337646,0.9310943793962291,37.314343,LSTM,word2vec
0.5936281085014343,0.7056074738502502,0.718343198299408,0.6953035593032837,0.7588152885437012,0.7066356285864435,2058.792981,BiLSTM,count
0.6531246304512024,0.6209112405776978,0.6054614186286926,0.736540675163269,0.6633531451225281,0.6645995026759162,1997.618818,BiLSTM,tfidf
0.19164645671844482,0.9328271150588989,0.9448356628417969,0.9221076965332031,0.9807896018028259,0.9333333357870461,67.09726,BiLSTM,word2vec
0.5791046619415283,0.7120327353477478,0.7661064267158508,0.6265750527381897,0.769024133682251,0.6893509848507918,1120.574395,LSTM+CNN,count
0.6291438937187195,0.6524532437324524,0.6466244459152222,0.7021763920783997,0.702420175075531,0.6732564329331949,1122.799945,LSTM+CNN,tfidf
0.26768118143081665,0.9310747385025024,0.9227323532104492,0.9438717365264893,0.9723857641220093,0.9331823425894912,44.018257,LSTM+CNN,word2vec
0.5784175395965576,0.7102803587913513,0.7860394716262817,0.5933562517166138,0.7705355882644653,0.676240221269032,2272.582633,BiLSTM+CNN,count
0.6295860409736633,0.6547897458076477,0.6465696692466736,0.712485671043396,0.7014780640602112,0.6779291630187767,2225.308087,BiLSTM+CNN,tfidf
0.2218194603919983,0.9357476830482483,0.9320498108863831,0.9427262544631958,0.9769293665885925,0.9373576326580739,74.757339,BiLSTM+CNN,word2vec
0.215262813396302,0.9106308411214953,0.9176334106728539,0.9060710194730813,0.9728731225604037,0.9118155619596543,1.455873,xgb,count
0.21987853309546765,0.9106308411214953,0.9128440366972477,0.9117983963344788,0.9708777563427797,0.9123209169054441,1.985098,xgb,tfidf
0.3904388820859159,0.8364485981308412,0.8233369683751364,0.8648339060710195,0.9105641773397938,0.8435754189944134,2.201116,xgb,word2vec
0.24055165971084033,0.923481308411215,0.9313953488372093,0.9175257731958762,0.9762092001195991,0.9244085401038661,3.063895,rfc,count
0.2430757905918622,0.9246495327102804,0.9256292906178489,0.9266895761741123,0.9771143850681345,0.9261591299370349,2.726739,rfc,tfidf
0.4417969409227262,0.7891355140186916,0.7776572668112798,0.8213058419243986,0.8807859135200226,0.7988857938718662,1.146965,rfc,word2vec
5.870912204870864,0.8300233644859814,0.7704460966542751,0.9495990836197021,0.8273301685992297,0.8506926629040533,1.180109,gnb,count
5.407007471888618,0.8434579439252337,0.7968596663395485,0.9301260022909508,0.8424432074948768,0.8583509513742071,1.175889,gnb,tfidf
17.09359404870739,0.5046728971962616,0.5073399882560188,0.9896907216494846,0.49427262313860254,0.6708074534161491,0.02593,gnb,word2vec
0.29690176846817484,0.9188084112149533,0.9179954441913439,0.9232531500572738,0.9766454091558844,0.9206167904054827,0.169635,mnb,count
0.23928904809334692,0.9141355140186916,0.8861702127659574,0.9541809851088202,0.9788394245590466,0.918918918918919,0.161569,mnb,tfidf
11.650118513946104,0.6606308411214953,0.7433333333333333,0.5108820160366552,0.7049445215831317,0.6055668703326544,0.010981,mnb,word2vec
2.78411303571015,0.919392523364486,0.926829268292683,0.9140893470790378,0.9194999774727726,0.9204152249134948,0.027055,PAC,count
2.4209744974368967,0.9299065420560748,0.9225589225589226,0.9415807560137457,0.9296699966004366,0.9319727891156463,0.013294,PAC,tfidf
16.139837455785816,0.5327102803738317,0.535609756097561,0.6288659793814433,0.5307619527419731,0.5785036880927292,0.095326,PAC,word2vec
